exp_name,srx,srr
jurkat_mRNA_28_4_L002,SRX24257841,SRR28690026
jurkat_sgRNA_28_4_L002,SRX24257842,SRR28690025
jurkat_mRNA_28_4_L003,SRX24257843,SRR28690024
jurkat_sgRNA_28_4_L003,SRX24257844,SRR28690023
jurkat_mRNA_28_4_L004,SRX24257845,SRR28690022
jurkat_sgRNA_28_4_L004,SRX24257846,SRR28690021
jurkat_sgRNA_1_2_L001,SRX24257847,SRR28690020
jurkat_mRNA_3_4_L002,SRX24257848,SRR28690019
jurkat_sgRNA_3_4_L002,SRX24257849,SRR28690018
jurkat_mRNA_3_4_L003,SRX24257850,SRR28690017
jurkat_sgRNA_3_4_L003,SRX24257851,SRR28690016
jurkat_mRNA_3_4_L004,SRX24257852,SRR28690015
jurkat_mRNA_4_1_L003,SRX24257853,SRR28690014
jurkat_sgRNA_4_1_L003,SRX24257854,SRR28690013
jurkat_mRNA_4_1_L004,SRX24257855,SRR28690012
jurkat_sgRNA_4_1_L004,SRX24257856,SRR28690011
jurkat_mRNA_4_2_L001,SRX24257857,SRR28690010
jurkat_sgRNA_4_2_L001,SRX24257858,SRR28690009
jurkat_mRNA_4_2_L002,SRX24257859,SRR28690008
jurkat_sgRNA_4_2_L002,SRX24257860,SRR28690007
jurkat_mRNA_4_2_L003,SRX24257861,SRR28690006
jurkat_sgRNA_4_2_L003,SRX24257862,SRR28690005
jurkat_sgRNA_1_2_L002,SRX24257863,SRR28690004
jurkat_mRNA_4_2_L004,SRX24257864,SRR28690003
jurkat_sgRNA_4_2_L004,SRX24257865,SRR28690002
jurkat_mRNA_4_3_L001,SRX24257866,SRR28690001
jurkat_sgRNA_4_3_L001,SRX24257867,SRR28690000
jurkat_mRNA_4_3_L002,SRX24257868,SRR28689999
jurkat_sgRNA_4_3_L002,SRX24257869,SRR28689998
jurkat_mRNA_4_3_L003,SRX24257870,SRR28689997
jurkat_sgRNA_4_3_L003,SRX24257871,SRR28689996
jurkat_mRNA_4_3_L004,SRX24257872,SRR28689995
jurkat_sgRNA_4_3_L004,SRX24257873,SRR28689994
jurkat_mRNA_1_2_L003,SRX24257874,SRR28689993
jurkat_mRNA_4_4_L001,SRX24257875,SRR28689992
jurkat_sgRNA_4_4_L001,SRX24257876,SRR28689991
jurkat_mRNA_8_1_L004,SRX24257877,SRR28689990
jurkat_sgRNA_8_1_L004,SRX24257878,SRR28689989
jurkat_mRNA_8_2_L001,SRX24257879,SRR28689988
jurkat_sgRNA_8_2_L001,SRX24257880,SRR28689987
jurkat_mRNA_8_2_L002,SRX24257881,SRR28689986
jurkat_sgRNA_8_2_L002,SRX24257882,SRR28689985
jurkat_mRNA_8_2_L003,SRX24257883,SRR28689984
jurkat_sgRNA_8_2_L003,SRX24257884,SRR28689983
jurkat_mRNA_8_2_L004,SRX24257885,SRR28689982
jurkat_sgRNA_8_2_L004,SRX24257886,SRR28689981
jurkat_mRNA_1_4_L001,SRX24257887,SRR28689980
jurkat_mRNA_8_3_L001,SRX24257888,SRR28689979
jurkat_sgRNA_8_3_L001,SRX24257889,SRR28689978
jurkat_mRNA_8_3_L002,SRX24257890,SRR28689977
jurkat_sgRNA_8_3_L002,SRX24257891,SRR28689976
jurkat_mRNA_8_3_L003,SRX24257892,SRR28689975
jurkat_sgRNA_8_3_L003,SRX24257893,SRR28689974
jurkat_mRNA_8_3_L004,SRX24257894,SRR28689973
jurkat_sgRNA_8_3_L004,SRX24257895,SRR28689972
jurkat_mRNA_8_4_L001,SRX24257896,SRR28689971
jurkat_sgRNA_8_4_L001,SRX24257897,SRR28689970
jurkat_sgRNA_1_4_L001,SRX24257898,SRR28689969
jurkat_mRNA_8_4_L002,SRX24257899,SRR28689968
jurkat_sgRNA_8_4_L002,SRX24257900,SRR28689967
jurkat_mRNA_10_2_L001,SRX24257901,SRR28689966
jurkat_sgRNA_10_2_L001,SRX24257902,SRR28689965
jurkat_mRNA_10_2_L002,SRX24257903,SRR28689964
