exp_name,srx,srr
KD6_seq1_essential_mRNA_lane_1_S49_L004,SRX15390082,SRR19330645
KD6_seq1_essential_mRNA_lane_1_S49_L001,SRX15390083,SRR19330644
KD6_seq1_essential_sgRNA_lane_1_S1_L002,SRX15390084,SRR19330643
KD6_seq1_essential_mRNA_lane_9_S33_L004,SRX15390085,SRR19330642
KD6_seq1_essential_mRNA_lane_9_S33_L003,SRX15390086,SRR19330641
KD6_seq1_essential_mRNA_lane_9_S33_L002,SRX15390087,SRR19330640
KD6_seq1_essential_mRNA_lane_9_S33_L001,SRX15390088,SRR19330639
KD6_seq1_essential_sgRNA_lane_9_S9_L003,SRX15390089,SRR19330638
KD6_seq1_essential_sgRNA_lane_9_S9_L002,SRX15390090,SRR19330637
KD6_seq1_essential_sgRNA_lane_9_S9_L001,SRX15390091,SRR19330636
KD6_seq1_essential_sgRNA_lane_9_S9_L004,SRX15390092,SRR19330635
KD6_seq1_essential_mRNA_lane_10_S58_L001,SRX15390093,SRR19330634
KD6_seq1_essential_mRNA_lane_10_S58_L003,SRX15390094,SRR19330633
KD6_seq1_essential_sgRNA_lane_1_S1_L003,SRX15390095,SRR19330632
KD6_seq1_essential_mRNA_lane_10_S58_L002,SRX15390096,SRR19330631
KD6_seq1_essential_mRNA_lane_10_S58_L004,SRX15390097,SRR19330630
KD6_seq1_essential_mRNA_lane_10_S34_L004,SRX15390098,SRR19330629
KD6_seq1_essential_mRNA_lane_10_S34_L001,SRX15390099,SRR19330628
KD6_seq1_essential_mRNA_lane_10_S34_L003,SRX15390100,SRR19330627
KD6_seq1_essential_mRNA_lane_10_S34_L002,SRX15390101,SRR19330626
KD6_seq1_essential_sgRNA_lane_10_S10_L004,SRX15390102,SRR19330625
KD6_seq1_essential_sgRNA_lane_10_S10_L003,SRX15390103,SRR19330624
KD6_seq1_essential_sgRNA_lane_10_S10_L002,SRX15390104,SRR19330623
KD6_seq1_essential_sgRNA_lane_10_S10_L001,SRX15390105,SRR19330622
KD6_seq1_essential_mRNA_lane_2_S50_L002,SRX15390106,SRR19330621
KD6_seq1_essential_mRNA_lane_11_S59_L003,SRX15390107,SRR19330620
KD6_seq1_essential_mRNA_lane_11_S59_L002,SRX15390108,SRR19330619
KD6_seq1_essential_mRNA_lane_11_S59_L001,SRX15390109,SRR19330618
KD6_seq1_essential_mRNA_lane_11_S59_L004,SRX15390110,SRR19330617
KD6_seq1_essential_mRNA_lane_11_S35_L004,SRX15390111,SRR19330616
KD6_seq1_essential_mRNA_lane_11_S35_L003,SRX15390112,SRR19330615
KD6_seq1_essential_mRNA_lane_11_S35_L002,SRX15390113,SRR19330614
KD6_seq1_essential_mRNA_lane_11_S35_L001,SRX15390114,SRR19330613
KD6_seq1_essential_sgRNA_lane_11_S11_L004,SRX15390115,SRR19330612
KD6_seq1_essential_sgRNA_lane_11_S11_L001,SRX15390116,SRR19330611
KD6_seq1_essential_mRNA_lane_2_S50_L003,SRX15390117,SRR19330610
KD6_seq1_essential_sgRNA_lane_11_S11_L003,SRX15390118,SRR19330609
KD6_seq1_essential_sgRNA_lane_11_S11_L002,SRX15390119,SRR19330608
KD6_seq1_essential_mRNA_lane_12_S60_L001,SRX15390120,SRR19330607
KD6_seq1_essential_mRNA_lane_12_S60_L003,SRX15390121,SRR19330606
KD6_seq1_essential_mRNA_lane_12_S60_L002,SRX15390122,SRR19330605
KD6_seq1_essential_mRNA_lane_12_S60_L004,SRX15390123,SRR19330604
KD6_seq1_essential_mRNA_lane_12_S36_L001,SRX15390124,SRR19330603
KD6_seq1_essential_mRNA_lane_12_S36_L003,SRX15390125,SRR19330602
KD6_seq1_essential_mRNA_lane_12_S36_L002,SRX15390126,SRR19330601
KD6_seq1_essential_mRNA_lane_12_S36_L004,SRX15390127,SRR19330600
KD6_seq1_essential_mRNA_lane_2_S50_L001,SRX15390128,SRR19330599
KD6_seq1_essential_sgRNA_lane_12_S12_L003,SRX15390129,SRR19330598
KD6_seq1_essential_mRNA_lane_18_S66_L001,SRX15390130,SRR19330597
KD6_seq1_essential_mRNA_lane_18_S66_L004,SRX15390131,SRR19330596
KD6_seq1_essential_mRNA_lane_18_S42_L004,SRX15390132,SRR19330595
KD6_seq1_essential_mRNA_lane_18_S42_L001,SRX15390133,SRR19330594
KD6_seq1_essential_sgRNA_lane_2_S2_L003,SRX15390134,SRR19330593
KD6_seq1_essential_mRNA_lane_18_S42_L003,SRX15390135,SRR19330592
KD6_seq1_essential_mRNA_lane_18_S42_L002,SRX15390136,SRR19330591
KD6_seq1_essential_sgRNA_lane_18_S18_L002,SRX15390137,SRR19330590
KD6_seq1_essential_sgRNA_lane_18_S18_L003,SRX15390138,SRR19330589
KD6_seq1_essential_sgRNA_lane_18_S18_L001,SRX15390139,SRR19330588
KD6_seq1_essential_sgRNA_lane_18_S18_L004,SRX15390140,SRR19330587
KD6_seq1_essential_mRNA_lane_19_S67_L001,SRX15390141,SRR19330586
KD6_seq1_essential_mRNA_lane_19_S67_L003,SRX15390142,SRR19330585
KD6_seq1_essential_mRNA_lane_19_S67_L002,SRX15390143,SRR19330584
KD6_seq1_essential_mRNA_lane_19_S67_L004,SRX15390144,SRR19330583
KD6_seq1_essential_sgRNA_lane_2_S2_L002,SRX15390145,SRR19330582
KD6_seq1_essential_mRNA_lane_19_S43_L004,SRX15390146,SRR19330581
KD6_seq1_essential_mRNA_lane_19_S43_L003,SRX15390147,SRR19330580
KD6_seq1_essential_mRNA_lane_19_S43_L002,SRX15390148,SRR19330579
KD6_seq1_essential_mRNA_lane_19_S43_L001,SRX15390149,SRR19330578
KD6_seq1_essential_sgRNA_lane_19_S19_L001,SRX15390150,SRR19330577
KD6_seq1_essential_sgRNA_lane_19_S19_L002,SRX15390151,SRR19330576
KD6_seq1_essential_sgRNA_lane_19_S19_L003,SRX15390152,SRR19330575
KD6_seq1_essential_sgRNA_lane_19_S19_L004,SRX15390153,SRR19330574
KD6_seq1_essential_mRNA_lane_25_S49_L003,SRX15390154,SRR19330573
KD6_seq1_essential_mRNA_lane_25_S49_L002,SRX15390155,SRR19330572
KD6_seq1_essential_mRNA_lane_25_S49_L001,SRX15390156,SRR19330571
KD6_seq1_essential_sgRNA_lane_25_S25_L004,SRX15390157,SRR19330570
KD6_seq1_essential_sgRNA_lane_25_S25_L003,SRX15390158,SRR19330569
KD6_seq1_essential_sgRNA_lane_25_S25_L002,SRX15390159,SRR19330568
KD6_seq1_essential_sgRNA_lane_25_S25_L001,SRX15390160,SRR19330567
KD6_seq1_essential_mRNA_lane_1_S49_L003,SRX15390161,SRR19330566
KD6_seq1_essential_mRNA_lane_3_S27_L001,SRX15390162,SRR19330565
KD6_seq1_essential_mRNA_lane_26_S74_L004,SRX15390163,SRR19330564
KD6_seq1_essential_mRNA_lane_26_S74_L003,SRX15390164,SRR19330563
KD6_seq1_essential_mRNA_lane_26_S74_L002,SRX15390165,SRR19330562
KD6_seq1_essential_mRNA_lane_26_S74_L001,SRX15390166,SRR19330561
KD6_seq1_essential_mRNA_lane_26_S50_L001,SRX15390167,SRR19330560
KD6_seq1_essential_mRNA_lane_26_S50_L003,SRX15390168,SRR19330559
KD6_seq1_essential_mRNA_lane_26_S50_L002,SRX15390169,SRR19330558
KD6_seq1_essential_mRNA_lane_26_S50_L004,SRX15390170,SRR19330557
KD6_seq1_essential_sgRNA_lane_26_S26_L001,SRX15390171,SRR19330556
KD6_seq1_essential_sgRNA_lane_26_S26_L003,SRX15390172,SRR19330555
KD6_seq1_essential_mRNA_lane_3_S27_L004,SRX15390173,SRR19330554
KD6_seq1_essential_sgRNA_lane_26_S26_L002,SRX15390174,SRR19330553
KD6_seq1_essential_sgRNA_lane_26_S26_L004,SRX15390175,SRR19330552
KD6_seq1_essential_mRNA_lane_27_S75_L004,SRX15390176,SRR19330551
KD6_seq1_essential_mRNA_lane_27_S75_L001,SRX15390177,SRR19330550
KD6_seq1_essential_sgRNA_lane_39_S39_L003,SRX15390178,SRR19330549
KD6_seq1_essential_sgRNA_lane_39_S39_L004,SRX15390179,SRR19330548
KD6_seq1_essential_mRNA_lane_40_S88_L002,SRX15390180,SRR19330547
KD6_seq1_essential_mRNA_lane_40_S88_L003,SRX15390181,SRR19330546
KD6_seq1_essential_sgRNA_lane_4_S4_L001,SRX15390182,SRR19330545
KD6_seq1_essential_mRNA_lane_40_S88_L001,SRX15390183,SRR19330544
KD6_seq1_essential_mRNA_lane_40_S88_L004,SRX15390184,SRR19330543
KD6_seq1_essential_mRNA_lane_40_S64_L002,SRX15390185,SRR19330542
KD6_seq1_essential_mRNA_lane_40_S64_L003,SRX15390186,SRR19330541
KD6_seq1_essential_mRNA_lane_40_S64_L001,SRX15390187,SRR19330540
KD6_seq1_essential_mRNA_lane_40_S64_L004,SRX15390188,SRR19330539
KD6_seq1_essential_sgRNA_lane_40_S40_L001,SRX15390189,SRR19330538
KD6_seq1_essential_sgRNA_lane_40_S40_L002,SRX15390190,SRR19330537
KD6_seq1_essential_sgRNA_lane_40_S40_L003,SRX15390191,SRR19330536
KD6_seq1_essential_sgRNA_lane_40_S40_L004,SRX15390192,SRR19330535
KD6_seq1_essential_mRNA_lane_5_S53_L004,SRX15390193,SRR19330534
KD6_seq1_essential_mRNA_lane_41_S89_L001,SRX15390194,SRR19330533
KD6_seq1_essential_mRNA_lane_41_S89_L002,SRX15390195,SRR19330532
KD6_seq1_essential_mRNA_lane_41_S89_L003,SRX15390196,SRR19330531
KD6_seq1_essential_mRNA_lane_41_S89_L004,SRX15390197,SRR19330530
KD6_seq1_essential_mRNA_lane_41_S65_L001,SRX15390198,SRR19330529
KD6_seq1_essential_mRNA_lane_41_S65_L002,SRX15390199,SRR19330528
KD6_seq1_essential_mRNA_lane_41_S65_L003,SRX15390200,SRR19330527
KD6_seq1_essential_mRNA_lane_41_S65_L004,SRX15390201,SRR19330526
KD6_seq1_essential_mRNA_lane_47_S95_L001,SRX15390202,SRR19330525
KD6_seq1_essential_mRNA_lane_47_S95_L002,SRX15390203,SRR19330524
KD6_seq1_essential_mRNA_lane_47_S95_L003,SRX15390204,SRR19330523
KD6_seq1_essential_mRNA_lane_47_S95_L004,SRX15390205,SRR19330522
KD6_seq1_essential_mRNA_lane_47_S71_L004,SRX15390206,SRR19330521
KD6_seq1_essential_mRNA_lane_47_S71_L002,SRX15390207,SRR19330520
KD6_seq1_essential_mRNA_lane_47_S71_L003,SRX15390208,SRR19330519
KD6_seq1_essential_mRNA_lane_47_S71_L001,SRX15390209,SRR19330518
KD6_seq1_essential_sgRNA_lane_5_S5_L001,SRX15390210,SRR19330517
KD6_seq1_essential_sgRNA_lane_47_S47_L002,SRX15390211,SRR19330516
KD6_seq1_essential_sgRNA_lane_47_S47_L003,SRX15390212,SRR19330515
KD6_seq1_essential_sgRNA_lane_47_S47_L001,SRX15390213,SRR19330514
KD6_seq1_essential_sgRNA_lane_47_S47_L004,SRX15390214,SRR19330513
