exp_name,sample,accession,lane,organism
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330561,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330563,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330564,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330562,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330518,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330519,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330520,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330521,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330441,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330452,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330430,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330928,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19331001,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19330815,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19331256,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S25,SRX15390401,SRR19331217,L001,Homo sapiens
