exp_name,sample,accession,lane,organism
KD6_seq1_essential_mRNA_lane_1_S49,SRX15390082,SRR19330645,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S49,SRX15390082,SRR19330644,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S49,SRX15390082,SRR19330566,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_1_S49,SRX15390082,SRR19331148,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S33,SRX15390085,SRR19330642,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S33,SRX15390085,SRR19330641,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S33,SRX15390085,SRR19330640,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_9_S33,SRX15390085,SRR19330639,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S58,SRX15390093,SRR19330634,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S58,SRX15390093,SRR19330633,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S58,SRX15390093,SRR19330631,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S58,SRX15390093,SRR19330630,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S34,SRX15390098,SRR19330629,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S34,SRX15390098,SRR19330628,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S34,SRX15390098,SRR19330627,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_10_S34,SRX15390098,SRR19330626,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S50,SRX15390106,SRR19331101,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S50,SRX15390106,SRR19330599,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S50,SRX15390106,SRR19330610,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_2_S50,SRX15390106,SRR19330621,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S59,SRX15390107,SRR19330620,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S59,SRX15390107,SRR19330619,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S59,SRX15390107,SRR19330618,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S59,SRX15390107,SRR19330617,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S35,SRX15390111,SRR19330613,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S35,SRX15390111,SRR19330614,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S35,SRX15390111,SRR19330615,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_11_S35,SRX15390111,SRR19330616,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S60,SRX15390120,SRR19330605,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S60,SRX15390120,SRR19330604,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S60,SRX15390120,SRR19330606,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S60,SRX15390120,SRR19330607,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S36,SRX15390124,SRR19330603,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S36,SRX15390124,SRR19330601,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S36,SRX15390124,SRR19330600,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_12_S36,SRX15390124,SRR19330602,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S66,SRX15390130,SRR19331142,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S66,SRX15390130,SRR19330597,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S66,SRX15390130,SRR19330596,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S66,SRX15390130,SRR19331141,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S42,SRX15390132,SRR19330592,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S42,SRX15390132,SRR19330594,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S42,SRX15390132,SRR19330595,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_18_S42,SRX15390132,SRR19330591,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S67,SRX15390141,SRR19330583,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S67,SRX15390141,SRR19330586,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S67,SRX15390141,SRR19330585,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S67,SRX15390141,SRR19330584,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S43,SRX15390146,SRR19330581,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S43,SRX15390146,SRR19330579,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S43,SRX15390146,SRR19330578,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_19_S43,SRX15390146,SRR19330580,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S49,SRX15390154,SRR19330862,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S49,SRX15390154,SRR19330571,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S49,SRX15390154,SRR19330572,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S49,SRX15390154,SRR19330573,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S27,SRX15390162,SRR19330865,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S27,SRX15390162,SRR19330554,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S27,SRX15390162,SRR19330565,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_3_S27,SRX15390162,SRR19330876,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330561,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330563,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330564,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S74,SRX15390163,SRR19330562,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S50,SRX15390167,SRR19330560,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S50,SRX15390167,SRR19330559,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S50,SRX15390167,SRR19330558,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_26_S50,SRX15390167,SRR19330557,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S75,SRX15390176,SRR19331062,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S75,SRX15390176,SRR19330551,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S75,SRX15390176,SRR19330550,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_27_S75,SRX15390176,SRR19331061,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S88,SRX15390180,SRR19330547,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S88,SRX15390180,SRR19330546,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S88,SRX15390180,SRR19330544,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S88,SRX15390180,SRR19330543,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S64,SRX15390185,SRR19330539,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S64,SRX15390185,SRR19330542,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S64,SRX15390185,SRR19330541,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_40_S64,SRX15390185,SRR19330540,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S53,SRX15390193,SRR19330534,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S53,SRX15390193,SRR19331000,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S53,SRX15390193,SRR19331283,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_5_S53,SRX15390193,SRR19331012,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S89,SRX15390194,SRR19330533,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S89,SRX15390194,SRR19330530,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S89,SRX15390194,SRR19330531,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S89,SRX15390194,SRR19330532,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S65,SRX15390198,SRR19330527,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S65,SRX15390198,SRR19330526,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S65,SRX15390198,SRR19330528,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_41_S65,SRX15390198,SRR19330529,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S95,SRX15390202,SRR19330525,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S95,SRX15390202,SRR19330523,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S95,SRX15390202,SRR19330522,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S95,SRX15390202,SRR19330524,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330518,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330519,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330520,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_47_S71,SRX15390206,SRR19330521,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S96,SRX15390215,SRR19330509,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S96,SRX15390215,SRR19330512,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S96,SRX15390215,SRR19330511,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S96,SRX15390215,SRR19330510,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S72,SRX15390219,SRR19330508,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S72,SRX15390219,SRR19330505,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S72,SRX15390219,SRR19330504,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_48_S72,SRX15390219,SRR19330507,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S30,SRX15390227,SRR19330500,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S30,SRX15390227,SRR19330489,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S30,SRX15390227,SRR19330478,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_6_S30,SRX15390227,SRR19330956,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S55,SRX15390255,SRR19330461,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S55,SRX15390255,SRR19330939,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S55,SRX15390255,SRR19330472,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S55,SRX15390255,SRR19330723,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330441,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330452,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330430,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_7_S31,SRX15390275,SRR19330928,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_8_S32,SRX15390324,SRR19330679,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_8_S32,SRX15390324,SRR19330690,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_8_S32,SRX15390324,SRR19330392,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_8_S32,SRX15390324,SRR19330403,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19330879,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19330878,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19330877,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S72,SRX15390337,SRR19331135,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S48,SRX15390341,SRR19330875,L004,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S48,SRX15390341,SRR19330874,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S48,SRX15390341,SRR19330873,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_24_S48,SRX15390341,SRR19330872,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330866,L001,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330863,L003,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330864,L002,Homo sapiens
KD6_seq1_essential_mRNA_lane_25_S73,SRX15390349,SRR19330867,L004,Homo sapiens
